   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00   .0000000E+00
   .1744677E-03  -.1744678E-06   .1744678E-03   .0000000E+00   .1744677E-03   .1744678E-06   .1744764E-03  -.1744765E-06   .1744765E-03   .0000000E+00   .1744764E-03   .1744765E-06   .1744852E-03  -.1744852E-06   .1744852E-03   .0000000E+00   .1744852E-03   .1744852E-06
   .3489354E-03  -.3489355E-06   .3489356E-03   .0000000E+00   .3489354E-03   .3489355E-06   .3489529E-03  -.3489530E-06   .3489530E-03   .0000000E+00   .3489529E-03   .3489530E-06   .3489703E-03  -.3489704E-06   .3489705E-03   .0000000E+00   .3489703E-03   .3489704E-06
   .5234031E-03  -.5234033E-06   .5234034E-03   .0000000E+00   .5234031E-03   .5234033E-06   .5234293E-03  -.5234295E-06   .5234296E-03   .0000000E+00   .5234293E-03   .5234295E-06   .5234555E-03  -.5234557E-06   .5234557E-03   .0000000E+00   .5234555E-03   .5234557E-06
   .6978709E-03  -.6978711E-06   .6978712E-03   .0000000E+00   .6978709E-03   .6978711E-06   .6979058E-03  -.6979060E-06   .6979061E-03   .0000000E+00   .6979058E-03   .6979060E-06   .6979406E-03  -.6979409E-06   .6979410E-03   .0000000E+00   .6979406E-03   .6979409E-06
   .8723386E-03  -.8723389E-06   .8723390E-03   .0000000E+00   .8723386E-03   .8723389E-06   .8723822E-03  -.8723825E-06   .8723826E-03   .0000000E+00   .8723822E-03   .8723825E-06   .8724258E-03  -.8724261E-06   .8724262E-03   .0000000E+00   .8724258E-03   .8724261E-06
   .1046806E-02  -.1046807E-05   .1046807E-02   .0000000E+00   .1046806E-02   .1046807E-05   .1046859E-02  -.1046859E-05   .1046859E-02   .0000000E+00   .1046859E-02   .1046859E-05   .1046911E-02  -.1046911E-05   .1046911E-02   .0000000E+00   .1046911E-02   .1046911E-05
   .1221274E-02  -.1221274E-05   .1221275E-02   .0000000E+00   .1221274E-02   .1221274E-05   .1221335E-02  -.1221335E-05   .1221336E-02   .0000000E+00   .1221335E-02   .1221335E-05   .1221396E-02  -.1221397E-05   .1221397E-02   .0000000E+00   .1221396E-02   .1221397E-05
   .1395742E-02  -.1395742E-05   .1395742E-02   .0000000E+00   .1395742E-02   .1395742E-05   .1395812E-02  -.1395812E-05   .1395812E-02   .0000000E+00   .1395812E-02   .1395812E-05   .1395881E-02  -.1395882E-05   .1395882E-02   .0000000E+00   .1395881E-02   .1395882E-05
   .1570209E-02  -.1570210E-05   .1570210E-02   .0000000E+00   .1570209E-02   .1570210E-05   .1570288E-02  -.1570288E-05   .1570289E-02   .0000000E+00   .1570288E-02   .1570288E-05   .1570366E-02  -.1570367E-05   .1570367E-02   .0000000E+00   .1570366E-02   .1570367E-05
   .1744677E-02  -.1744678E-05   .1744678E-02   .0000000E+00   .1744677E-02   .1744678E-05   .1744764E-02  -.1744765E-05   .1744765E-02   .0000000E+00   .1744764E-02   .1744765E-05   .1744852E-02  -.1744852E-05   .1744852E-02   .0000000E+00   .1744852E-02   .1744852E-05
   .1919145E-02  -.1919145E-05   .1919146E-02   .0000000E+00   .1919145E-02   .1919145E-05   .1919241E-02  -.1919241E-05   .1919242E-02   .0000000E+00   .1919241E-02   .1919241E-05   .1919337E-02  -.1919337E-05   .1919338E-02   .0000000E+00   .1919337E-02   .1919337E-05
   .2093613E-02  -.2093613E-05   .2093614E-02   .0000000E+00   .2093613E-02   .2093613E-05   .2093717E-02  -.2093718E-05   .2093718E-02   .0000000E+00   .2093717E-02   .2093718E-05   .2093822E-02  -.2093823E-05   .2093823E-02   .0000000E+00   .2093822E-02   .2093823E-05
   .2268080E-02  -.2268081E-05   .2268081E-02   .0000000E+00   .2268080E-02   .2268081E-05   .2268194E-02  -.2268194E-05   .2268195E-02   .0000000E+00   .2268194E-02   .2268194E-05   .2268307E-02  -.2268308E-05   .2268308E-02   .0000000E+00   .2268307E-02   .2268308E-05
