   .0000000E+00   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .1744765E-03   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .3489530E-03   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .5234296E-03   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .6979061E-03   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .8723826E-03   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .1046859E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .1221336E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .1395812E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .1570289E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .1744765E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .1919242E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .2093718E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .2268195E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .2442671E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .2617148E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .2791624E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .2966101E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .3140577E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .3315054E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .3489531E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .3664007E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .3838484E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .4012960E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .4187437E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .4361913E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .4536390E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .4710866E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .4885343E-02   .3229839E+08   .3229839E+08   .3229839E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .5060077E-02   .3229839E+08   .3229838E+08   .3229838E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .5235244E-02   .3229839E+08   .3229838E+08   .3229838E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230161E+08   .3230162E+08
   .5410205E-02   .3229839E+08   .3229839E+08   .3229838E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .5582315E-02   .3229839E+08   .3229839E+08   .3229838E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
   .5756414E-02   .3229839E+08   .3229839E+08   .3229838E+08   .3230000E+08   .3230000E+08   .3230000E+08   .3230162E+08   .3230162E+08   .3230162E+08
